Month,Day,avg_pm1,avg_pm2,avg_pm3,avg_am,avg_lum,avg_temp,avg_humd,avg_pres,avg_sm
Dec,10,1.077058824,1.595882353,36.56705882,2.458823529,3659.352941,20.93911765,52.24044118,93074.20456,417.3970588
Dec,11,1.085652174,1.572608696,36.68521739,2.550724638,3676.057971,21.35637681,84.53275362,93121.69348,415.2753623
Dec,12,1.085652174,1.596956522,36.73391304,4.347826087,3584.246377,21.21478261,93.52318841,93137.49,413.8405797
Dec,13,1.058307692,1.523538462,36.12184615,4.184615385,2935.415385,20.882,97.96815385,93231.38369,413.1692308
Dec,14,1.049692308,1.489076923,35.03630769,2.387692308,3521.046154,21.86630769,84.33569231,93364.08769,414.0923077
Dec,15,1.042121212,1.508787879,35.03878788,1.878787879,1972.863636,21.81469697,71.70772727,93321.27682,411.0757576
Dec,16,1.06625,1.50375,35.03375,1.8125,1913.09375,21.56015625,62.02015625,93269.70531,407.03125
Dec,17,1.038888889,1.518888889,35.04888889,1.612698413,2692.650794,21.85761905,72.95825397,93343.84016,404.8730159
Dec,18,1.059090909,1.491818182,35.02181818,1.806060606,3395.333333,21.55424242,75.93848485,93301.21758,402.5606061
Dec,19,1.049692308,1.514923077,35.04492308,2.72,1980.430769,20.04076923,69.06246154,93220.58615,398.4769231
Dec,20,1.059090909,1.491818182,34.97090909,1.903030303,1969.590909,19.34090909,66.30560606,93177.37106,393.9242424
Dec,21,1.049692308,1.489076923,35.01907692,1.415384615,1975.938462,20.04923077,58.03646154,93238.67969,390.5538462
Dec,22,1.059090909,1.517272727,35.04727273,1.357575758,1991.454545,19.76606061,58.37227273,93238.55667,387.8030303
Dec,23,1.049692308,1.489076923,35.01907692,1.366153846,2273.738462,20.14384615,62.86861538,93234.69138,385.5384615
Dec,24,1.049692308,1.514923077,35.04492308,0.984615385,1952.938462,19.654,60.04446154,93302.014,382.9538462
Dec,25,1.04,1.43375,34.605,1.1375,1845.765625,20.26640625,60.5984375,93340.40875,379.796875
Dec,26,1.019677419,1.426129032,33.55612903,1.729032258,2798.467742,23.05806452,74.5183871,93427.82774,379.2258065
Dec,27,1.03,1.403333333,33.52,2.222222222,2813.365079,24.03984127,73.04888889,93537.93302,380.8888889
Dec,28,1.03,1.43,33.52,1.206349206,2156.063492,23.23698413,69.85206349,93618.56714,379.7142857
Dec,29,1.019677419,1.426129032,33.52,0.838709677,2199.354839,22.64,70.515,93744.9279,377.6129032
Dec,30,1.03,1.403333333,33.52,1.028571429,2256.428571,23.01746032,62.58936508,93814.7781,376.2063492
Dec,31,1.019677419,1.426129032,33.52,1.006451613,2311.870968,22.32080645,66.22483871,93742.19323,373.6774194
Jan,1,1.03,1.403333333,33.52,0.8,2452.222222,21.68095238,72.9115873,93672.45587,371.2380952
Jan,2,1.03,1.43,33.52,1.206349206,2449.365079,21.83761905,68.17666667,93632.49698,368.9365079
Jan,3,1.019677419,1.426129032,33.52,0.916129032,2751.709677,21.62677419,63.53580645,93652.29065,367.1451613
Jan,4,1.03,1.403333333,33.52,0.749206349,2996.936508,21.19825397,63.84365079,93550.34381,365.5555556
Jan,5,1.012222222,1.421111111,33.52,1.828571429,2574.396825,20.47142857,61.80873016,93608.14254,362.8095238
Jan,6,1.037741935,1.408064516,33.52,1.806451613,3165.580645,20.0383871,71.18774194,93747.30387,360.4354839
Jan,7,1.04,1.46,33.52,1.5,789.7083333,15.6125,97.82041667,93719.63167,359.0833333
Jan,20,1.008181818,1.347575758,31.32393939,2.375757576,2028.212121,23.91666667,38.40848485,93483.87061,344.7878788
Jan,21,0.998,1.315333333,31.98066667,1.413333333,2142.883333,20.08266667,63.03016667,93472.17867,342.5666667
Jan,22,0.986610169,1.33779661,31.90694915,1.220338983,1976.067797,20.62389831,62.61152542,93359.56661,342.2542373
Jan,23,0.974827586,1.303103448,31.29,1.103448276,2133.87931,21.47637931,64.715,93249.96966,342.3448276
Jan,24,0.974827586,1.283793103,30.80724138,1.062068966,2723.965517,21.95637931,75.37241379,93283.10259,343.3793103
Jan,25,0.962631579,1.306491228,30.82824561,0.785964912,2957.894737,22.7854386,75.55596491,93258.00351,344.9122807
Jan,26,0.974827586,1.283793103,30.82655172,1.048275862,2139.896552,23.26413793,64.90724138,93279.64793,346.2241379
Jan,27,0.962631579,1.306491228,30.82824561,2.147368421,1702.035088,22.26192982,53.25,93312.8286,346.2982456
Jan,28,0.974827586,1.303103448,30.82655172,1.255172414,1762.62069,21.45224138,51.32413793,93259.34931,344.3103448
Jan,29,0.974827586,1.283793103,30.80724138,1.351724138,1890.706897,20.92258621,55.08431034,93153.32569,342.3448276
Jan,30,0.962631579,1.306491228,30.82824561,1.614035088,2173.54386,22.36789474,65.04719298,93294.41474,341.9298246
Jan,31,0.974827586,1.283793103,30.82655172,2.082758621,2196.172414,22.56827586,67.01948276,93318.65672,342.5
Feb,1,0.962631579,1.306491228,30.82824561,1.78245614,2191.385965,22.60631579,63.4077193,93293.10281,342.0701754
Feb,2,0.974827586,1.303103448,30.82655172,2.675862069,2012.672414,21.82965517,56.06189655,93354.39534,340.8448276
Feb,3,0.974827586,1.283793103,30.80724138,2.013793103,1904.275862,22.36637931,47.47724138,93408.82741,339.2068966
Feb,4,0.962631579,1.306491228,30.82824561,2.063157895,1836.666667,23.36298246,47.70561404,93287.38947,340.4210526
Feb,5,0.974827586,1.283793103,30.82655172,1.296551724,1761.241379,23.69068966,48.40637931,93232.57362,341.5517241
Feb,6,0.95,1.27,30.45,0.9,1974.696429,23.61392857,54.90375,93261.55768,341.625
Feb,7,0.936909091,1.272909091,29.73218182,0.974545455,2121.327273,23.32872727,53.38690909,93236.42473,341.4363636
Feb,8,0.95,1.25,29.63,1.571428571,1955.946429,23.88642857,55.98571429,93263.25375,340.8035714
Feb,9,0.936909091,1.272909091,29.65072727,1.6,2047.327273,23.81963636,49.77927273,93325.58309,340.5454545
Feb,10,0.936909091,1.252545455,29.65072727,1.614545455,1988.654545,23.88836364,46.94727273,93429.85,340.2909091
Feb,11,0.957272727,1.252545455,29.65072727,1.498181818,2025.054545,23.77254545,42.96363636,93470.95727,339.7636364
Feb,12,0.936909091,1.272909091,29.65072727,1.832727273,1814.581818,23.76727273,38.98181818,93471.83091,339.0181818
Feb,13,0.93,1.25,29.65,2.957142857,1795.375,23.70446429,34.72678571,93509.88625,338.1071429
Feb,14,0.957272727,1.272909091,29.65072727,2.065454545,1942.709091,21.99472727,32.77909091,93486.55073,335.8727273
Feb,15,0.936909091,1.252545455,29.63036364,2.647272727,1678.454545,22.19418182,31.80381818,93338.93236,333.8909091
Feb,16,0.95,1.25,29.65,2.714285714,1703.696429,23.01142857,31.38571429,93335.45304,332.9464286
Feb,17,0.936909091,1.272909091,29.65072727,2.050909091,1840.672727,22.99472727,34.49563636,93376.54036,332.3272727
Feb,18,0.936909091,1.252545455,29.65072727,2.24,1910.872727,23.27236364,36.15090909,93377.68255,332.1636364
Feb,19,0.95,1.25,29.65,1.3,2033.25,23.65482143,54.06785714,93382.64071,332.6071429
Feb,20,0.936909091,1.272909091,29.63036364,1.367272727,1926.690909,23.90745455,48.63909091,93420.62073,332.8
Feb,21,0.923333333,1.213703704,29.12259259,1.422222222,1892.314815,24.09592593,54.87092593,93422.115,333.5740741
Feb,22,0.909245283,1.236792453,28.55339623,1.373584906,2070.754717,24.8954717,37.3,93324.86415,333.5471698
Feb,23,0.909245283,1.215660377,28.55339623,1.298113208,2261.113208,25.22415094,32.97226415,93295.73075,333.3207547
Feb,24,0.923333333,1.213703704,28.53148148,1.333333333,2021.537037,24.49833333,32.89444444,93395.7063,332.5
Feb,25,0.909245283,1.236792453,28.55339623,1.660377358,2252.113208,25.18490566,31.94924528,93531.65283,331.9433962
Feb,26,0.909245283,1.215660377,28.55339623,1.977358491,2150.471698,25.02735849,30.37735849,93590.85208,331.6037736
Feb,27,0.923333333,1.213703704,28.53148148,1.274074074,2084.259259,24.82351852,32.13537037,93604.99574,331.037037
Feb,28,0.909245283,1.236792453,28.55339623,2.083018868,2536.528302,25.48886792,29.04169811,93580.3034,330.6792453
Mar,1,0.909245283,1.215660377,28.55339623,1.705660377,2230.490566,25.05641509,31.96150943,93606.17887,330.1320755
Mar,2,0.923333333,1.213703704,28.53148148,3.051851852,2633.185185,24.91018519,32.54907407,93664.47907,330.0740741
Mar,3,0.909245283,1.236792453,28.55339623,2.747169811,2861.301887,24.46849057,34.40792453,93728.60642,329.1320755
Mar,4,0.901372549,1.164901961,28.11764706,2.258823529,2463.686275,24.64784314,32.05941176,93692.27961,328.5098039
Mar,5,0.879411765,1.197843137,27.57411765,1.945098039,2941.156863,25.73392157,31.96176471,93664.49549,328.3333333
Mar,6,0.879411765,1.175882353,27.50941176,1.568627451,2370.686275,25.52215686,30.6254902,93506.18961,328.1960784
Mar,7,0.894615385,1.196153846,27.54923077,2.907692308,2919.384615,24.35019231,34.31980769,93501.60115,327.9807692
Mar,8,0.879411765,1.175882353,27.50941176,2.525490196,2928.392157,24.85705882,36.37882353,93480.91706,327.0392157
Mar,9,0.894615385,1.196153846,27.54923077,2.276923077,2852.634615,25.28038462,32.51211538,93407.17558,327.0769231
Mar,10,0.866521739,1.207391304,27.71478261,1.182608696,2302.434783,21.22826087,39.66086957,93448.49174,326.6521739
